0.5 0.5 -0.070042
0.5 0.55 -0.162474
0.5 0.6 -0.225799
0.5 0.65 -0.275101
0.5 0.7 -0.292248
0.5 0.75 -0.302942
0.5 0.8 -0.296408
0.5 0.85 -0.269158
0.5 0.9 -0.240866
0.5 0.95 -0.194193
0.55 0.5 -0.131555
0.55 0.55 -0.216218
0.55 0.6 -0.274304
0.55 0.65 -0.336705
0.55 0.7 -0.378085
0.55 0.75 -0.397222
0.55 0.8 -0.398422
0.55 0.85 -0.392445
0.55 0.9 -0.354264
0.55 0.95 -0.315332
0.6 0.5 -0.175042
0.6 0.55 -0.244064
0.6 0.6 -0.310134
0.6 0.65 -0.362597
0.6 0.7 -0.401794
0.6 0.75 -0.43441
0.6 0.8 -0.444203
0.6 0.85 -0.433656
0.6 0.9 -0.404447
0.6 0.95 -0.350966
0.65 0.5 -0.213527
0.65 0.55 -0.264586
0.65 0.6 -0.329216
0.65 0.65 -0.365597
0.65 0.7 -0.406309
0.65 0.75 -0.430104
0.65 0.8 -0.439467
0.65 0.85 -0.424706
0.65 0.9 -0.400317
0.65 0.95 -0.332884
0.7 0.5 -0.237762
0.7 0.55 -0.28721
0.7 0.6 -0.328711
0.7 0.65 -0.368441
0.7 0.7 -0.391068
0.7 0.75 -0.405457
0.7 0.8 -0.399882
0.7 0.85 -0.377266
0.7 0.9 -0.330778
0.7 0.95 -0.28396
0.75 0.5 -0.266579
0.75 0.55 -0.299314
0.75 0.6 -0.32853
0.75 0.65 -0.341498
0.75 0.7 -0.359686
0.75 0.75 -0.367663
0.75 0.8 -0.353444
0.75 0.85 -0.333985
0.75 0.9 -0.268998
0.75 0.95 -0.18342
0.8 0.5 -0.275711
0.8 0.55 -0.289425
0.8 0.6 -0.304333
0.8 0.65 -0.328663
0.8 0.7 -0.318709
0.8 0.75 -0.321832
0.8 0.8 -0.305611
0.8 0.85 -0.224556
0.8 0.9 -0.187027
0.8 0.95 -0.0774557
0.85 0.5 -0.272973
0.85 0.55 -0.290245
0.85 0.6 -0.286314
0.85 0.65 -0.27283
0.85 0.7 -0.283522
0.85 0.75 -0.260798
0.85 0.8 -0.176441
0.85 0.85 -0.134461
0.85 0.9 -0.0443509
0.85 0.95 0.046742
0.9 0.5 -0.26194
0.9 0.55 -0.261898
0.9 0.6 -0.26654
0.9 0.65 -0.210055
0.9 0.7 -0.194036
0.9 0.75 -0.15586
0.9 0.8 -0.131056
0.9 0.85 -0.0624493
0.9 0.9 0.0498606
0.9 0.95 0.153626
0.95 0.5 -0.241366
0.95 0.55 -0.22705
0.95 0.6 -0.222943
0.95 0.65 -0.189732
0.95 0.7 -0.141144
0.95 0.75 -0.0905041
0.95 0.8 0.0214835
0.95 0.85 0.142869
0.95 0.9 0.246158
0.95 0.95 0.390229
