0.3441 0.938696
0.275717 0.90974
0.186108 0.835789
0.0431007 0.667871
0.324738 0.661973
0.451098 0.731587
0.34443 0.594106
0.142079 0.227867
0.229434 0.11719
0.492048 0.358925
0.583009 0.372586
0.641733 0.37443
0.751064 0.372585
0.6018 0.258781
0.545394 0.227455
0.577784 0.14018
0.696678 0.202996
0.775565 0.0523522
0.78073 0.0586183
0.973821 0.0625866
0.914204 0.20022
0.89895 0.392924
0.90629 0.426054
0.950132 0.616664
0.950622 0.648544
0.945658 0.828731
0.833967 0.782634
0.808447 0.803192
0.798877 0.907742
0.706122 0.907886
0.666078 0.794545
0.619845 0.754296
0.592292 0.948579
0.367646 0.900141
0.3441 0.938696
