0.7793 0.626651
0.757263 0.65311
0.682812 0.730594
0.670404 0.741996
0.637693 0.77029
0.492058 0.870563
0.442229 0.896902
0.347539 0.937666
0.224995 0.97436
0.204943 0.978774
-0.116911 0.993142
-0.335373 0.942085
-0.787839 0.615882
-0.800995 0.598671
-0.856304 0.516472
-0.939436 0.342725
-0.965781 0.259358
-0.99477 0.102142
-0.994812 0.101735
-0.997655 0.0684402
-0.971586 -0.236688
-0.944417 -0.328749
-0.901151 -0.433506
-0.818809 -0.574067
-0.502526 -0.864562
-0.483635 -0.87527
-0.328549 -0.944487
0.415029 -0.909808
0.656643 -0.754201
0.841367 -0.540464
0.881984 -0.471278
0.889447 -0.457038
0.946948 -0.321388
0.892324 0.451395
0.7793 0.626651
