0 -4.211999869 1.466401622 0.08440511849 1.979973156 -1.369560582 -1.442627636
1 0.7676555883 -4.628217573 -6.288439061 -1.154541362 -2.215401678 -0.6690914347
2 5.487956095 -1.834131373 3.824869612 -0.3178652652 -0.0592430172 0.1318089428
3 2.629175376 2.086843907 3.387697943 -1.64654403 -0.5288233584 1.51463452
4 -3.866510611 -6.436491142 4.686452873 -0.4391678594 1.501013883 -0.01894970126
5 3.37660012 5.208889163 -3.126073193 -0.4939018891 -0.340136132 -0.549153651
6 4.152446568 5.980576049 -3.498193938 -0.4619625202 -0.2300474643 1.973353165
7 3.137469167 -2.841595461 -1.111187908 -0.828331643 -1.082589783 -2.23570596
8 0.6824837296 5.666709835 3.166767089 0.7398036083 -0.474874837 0.2549218828
9 -3.374782062 -2.815189247 3.719819104 -2.340579839 1.46414726 -0.1410583162
10 4.998500337 -2.737707306 -0.5689001405 1.259961462 1.192358939 -0.02294986999
11 3.535769449 -5.904863465 1.603846585 -1.064626226 -0.1408333411 -0.3449083742
12 -0.2131235618 5.575069393 -6.396392147 0.7080982198 -0.3959387884 -1.370128422
13 3.484809278 -5.783125976 -0.9451159545 0.2709859557 1.457227235 -0.7421839124
14 -3.867826529 2.161717595 -3.00486158 -0.6125120438 0.9864215133 -0.3292393926
15 4.744008356 2.622400186 -4.315543737 0.7696458006 -0.543820683 0.4913508448
16 3.160522988 -3.527297789 3.214745274 0.4058946943 0.4347709702 1.156420231
17 4.296730686 -4.247549511 0.8415005956 0.1193724957 0.8429403846 -1.124630577
18 -2.320886471 4.982952361 -6.435515984 -0.8192487206 -0.3166308743 0.1952213197
19 1.971301113 4.342815929 3.747713177 0.6289647793 2.622764227 -0.7914181875
20 0.4312529973 -5.388213788 5.721482343 1.906358648 -1.623211935 -2.747950247
21 3.94353164 6.356803355 0.8162866057 -0.5178574429 1.051699079 0.1193376611
22 4.326986856 3.194940713 1.320451667 -1.48827328 -0.5105499605 -0.9406271992
23 -0.1916346354 -5.569065896 -0.8691810197 -0.1141470231 2.244344076 -0.4874426171
24 -5.669953604 -2.96586533 3.839181762 1.529925057 1.05019308 1.073884299
25 0.1340576339 -2.812245479 2.846415829 -0.9045760753 0.3783005898 -0.392663593
26 2.834770816 5.851803256 2.330919692 1.195956589 -3.112572024 -0.02813386891
27 -6.10589331 -4.707081233 -1.58655055 1.246144791 0.236021483 -0.1384060219
28 4.883057999 -5.256796256 -5.641700979 -1.515496729 -0.3567581319 -0.0486881435
29 2.495725168 -1.833771503 -2.407657187 -0.8996190844 -0.8921749589 -0.4210253848
30 1.281099763 -4.544571322 3.889950174 -0.04585655064 0.816060286 -1.334851867
31 0.7195903637 -3.775077535 3.184515065 -0.3000012093 -0.6493442519 0.9607822503
32 3.726110072 2.883052582 3.875597493 -2.683585613 1.762073028 0.8240021053
33 0.114018726 1.347683346 0.5877006029 -0.3479992748 -0.8196652925 -0.1130068538
34 -1.920696357 0.8207408781 -2.222731389 2.890290978 -0.2567086322 0.5726380831
35 -1.113253404 -4.077963919 1.063775437 1.685831684 0.7943992713 -1.359234118
36 -3.468659305 3.991566991 -3.719187141 -1.314283232 -1.351242816 -0.2902415484
37 1.875458459 -5.696172028 -4.333660958 -1.416540077 -0.3922561079 0.2702941937
38 2.462254374 -5.975823264 -2.432468213 -1.469068629 0.310946518 0.7163063511
