#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.99319     2.14673   0.0184095
         169     1.98548     2.14577   0.0183253
         170     1.97223     2.14475   0.0182459
         171     1.95498     2.14364   0.0181729
         172     1.96093     2.14258   0.0180983
         173     1.95633      2.1415   0.0180257
         174     1.94307     2.14036   0.0179581
         175     1.97494     2.13942   0.0178804
         176      1.9708     2.13846   0.0178044
         177     1.99448     2.13765   0.0177224
         178     2.00557      2.1369   0.0176384
         179     1.98823     2.13607   0.0175594
         180     1.99486     2.13529   0.0174793
         181     1.97353     2.13439   0.0174056
         182     1.97772     2.13353   0.0173312
         183     1.96621     2.13262   0.0172606
         184     2.00223     2.13191   0.0171814
         185     2.00553     2.13123   0.0171021
         186     2.00437     2.13055   0.0170237
         187     2.03241     2.13002   0.0169408
         188      2.0304     2.12949   0.0168589
         189     1.99358     2.12877   0.0167851
         190     2.04454     2.12833   0.0167026
         191      1.9942     2.12763   0.0166299
         192     1.98674     2.12689   0.0165595
         193     2.00942     2.12628   0.0164848
         194      1.9968     2.12562   0.0164134
         195     2.03105     2.12513   0.0163364
         196     2.00751     2.12453    0.016264
         197     2.03037     2.12405   0.0161885
         198      2.0476     2.12367   0.0161113
         199     1.99381     2.12301   0.0160436
         200     1.99762     2.12239   0.0159756
         201     1.98393      2.1217    0.015911
         202     1.98117       2.121   0.0158474
         203      1.9666     2.12024   0.0157876
         204     1.95955     2.11946   0.0157298
         205     1.96723     2.11871   0.0156706
         206     1.94648     2.11788   0.0156168
         207     1.96074     2.11712   0.0155598
         208     1.95273     2.11633   0.0155051
         209     1.95741     2.11557   0.0154495
         210     1.92724     2.11467    0.015402
         211     1.94308     2.11386   0.0153504
         212     1.94028     2.11304   0.0152998
         213     1.90448     2.11206   0.0152593
         214     1.92508     2.11119    0.015213
         215     1.91622     2.11028   0.0151692
         216      1.9206      2.1094   0.0151244
         217     1.90992     2.10848   0.0150826
         218     1.92129     2.10762   0.0150379
         219     1.92205     2.10677    0.014993
         220     1.94078     2.10602   0.0149439
         221     1.94403     2.10529   0.0148942
         222     1.94017     2.10454   0.0148457
         223     1.99843     2.10407   0.0147867
         224     2.00093     2.10361   0.0147279
         225      2.0263     2.10326   0.0146664
         226     2.04145     2.10299   0.0146041
         227     2.03907     2.10271   0.0145425
         228      2.0268     2.10238   0.0144825
         229     1.98789     2.10188   0.0144279
         230     1.96314     2.10127   0.0143778
         231     1.94119     2.10058   0.0143322
         232     1.94204      2.0999   0.0142867
         233     1.93049     2.09917   0.0142439
         234     1.92157     2.09841   0.0142032
         235     1.94283     2.09775   0.0141582
         236     1.92651     2.09702   0.0141168
         237     1.93592     2.09634   0.0140736
         238     1.96312     2.09578   0.0140256
         239     1.93002     2.09509    0.013984
         240     1.95103     2.09449   0.0139386
         241     1.93371     2.09382   0.0138968
         242     1.92295     2.09312   0.0138573
         243     1.89676     2.09231   0.0138238
         244     1.92165     2.09161   0.0137848
         245     1.93415     2.09097   0.0137435
         246     1.91839     2.09026   0.0137055
         247     1.95649     2.08972   0.0136607
         248      1.9626     2.08921   0.0136153
         249       1.969     2.08873   0.0135692
         250     1.96027     2.08821   0.0135246
         251     1.97172     2.08775   0.0134787
         252      1.9611     2.08725   0.0134346
         253     1.97531      2.0868   0.0133887
         254     1.95045     2.08627   0.0133468
         255     1.95751     2.08576    0.013304
         256     1.93054     2.08516   0.0132658
         257     1.94383     2.08461   0.0132256
         258     1.94647     2.08407   0.0131852
         259     1.94589     2.08354   0.0131451
         260     1.94242     2.08299   0.0131057
         261     1.93334     2.08242    0.013068
         262     1.96444     2.08197   0.0130259
         263     1.93537     2.08141   0.0129883
         264     1.94835     2.08091   0.0129489
         265     1.95373     2.08043   0.0129089
         266     1.93848      2.0799   0.0128714
         267     1.93427     2.07935   0.0128347
         268     1.91359     2.07873   0.0128017
         269     1.91405     2.07812   0.0127688
         270     1.92645     2.07756   0.0127338
         271     1.93584     2.07704   0.0126976
         272     1.94026     2.07653   0.0126609
         273     1.97402     2.07616   0.0126201
         274     1.99277     2.07585   0.0125777
         275     2.01955     2.07565   0.0125336
         276     2.02877     2.07548   0.0124893
         277     2.07349     2.07547   0.0124442
         278     2.05308     2.07539   0.0123997
         279     2.08301     2.07542   0.0123553
         280     2.06986      2.0754   0.0123112
         281     2.05443     2.07532   0.0122676
         282     2.04394     2.07521   0.0122246
         283     2.01925     2.07501    0.012183
         284     2.04984     2.07493   0.0121405
         285     2.03738     2.07479   0.0120986
         286     2.06206     2.07475   0.0120564
         287     2.02619     2.07458   0.0120155
         288      2.0457     2.07448   0.0119742
         289     2.01386     2.07427   0.0119346
         290     1.99912     2.07401   0.0118963
         291     2.01901     2.07382   0.0118569
         292      2.0283     2.07367   0.0118173
         293     2.00975     2.07345    0.011779
         294     2.00123      2.0732   0.0117415
         295     1.98967     2.07292   0.0117051
         296     1.95406     2.07252   0.0116725
         297      1.9667     2.07216   0.0116386
         298     1.95688     2.07177    0.011606
         299     1.94297     2.07134   0.0115752
         300     1.97849     2.07103   0.0115407
         301     1.94708     2.07062   0.0115097
         302     1.95243     2.07023   0.0114782
         303      1.9453     2.06982   0.0114478
         304     1.96154     2.06946   0.0114157
         305     1.91961     2.06897   0.0113888
         306     1.94059     2.06855   0.0113593
         307     1.94178     2.06814   0.0113298
         308     1.92969     2.06769   0.0113019
         309     1.91802      2.0672   0.0112757
         310     1.92815     2.06676   0.0112483
         311     1.91323     2.06626   0.0112229
         312     1.93561     2.06584   0.0111948
         313     1.91741     2.06537    0.011169
         314     1.92219     2.06491   0.0111428
         315     1.91034     2.06442   0.0111182
         316     1.92016     2.06397   0.0110924
         317     1.89953     2.06345   0.0110695
         318     1.91137     2.06297    0.011045
         319     1.91601     2.06251     0.01102
         320     1.93686     2.06212   0.0109926
         321     1.93944     2.06173    0.010965
         322     1.97894     2.06148   0.0109339
         323     1.96549     2.06118   0.0109041
         324     1.95108     2.06084   0.0108758
         325     1.95525     2.06051   0.0108471
         326     1.90726     2.06004   0.0108241
         327     1.90175     2.05956   0.0108018
         328     1.88166     2.05902   0.0107824
         329     1.89274     2.05851   0.0107615
         330     1.87865     2.05797   0.0107427
         331     1.90641     2.05751     0.01072
         332     1.90815     2.05706   0.0106971
         333     1.93036     2.05668   0.0106718
         334      1.9762     2.05644   0.0106425
         335     1.95781     2.05614   0.0106148
         336     1.97098     2.05589   0.0105863
         337     1.96265     2.05561   0.0105585
         338     1.94914      2.0553   0.0105319
         339     1.92191     2.05491   0.0105082
         340     1.93331     2.05455   0.0104834
         341     1.94291     2.05422   0.0104578
         342     1.90848     2.05379   0.0104359
         343     1.92993     2.05343   0.0104117
         344     1.91655     2.05304    0.010389
         345     1.89939     2.05259   0.0103685
         346      1.8876     2.05211   0.0103494
         347      1.9327     2.05177   0.0103253
         348     1.94359     2.05146   0.0103003
         349     1.97035     2.05123   0.0102735
         350     1.95018     2.05094   0.0102482
         351     1.98444     2.05075   0.0102207
         352     1.94642     2.05045    0.010196
         353     1.95856     2.05019   0.0101704
         354     1.97589     2.04998   0.0101438
         355     1.95279     2.04971    0.010119
         356      1.9181     2.04934   0.0100973
         357     1.92061     2.04898   0.0100754
         358     1.92425     2.04863   0.0100533
         359     1.88085     2.04816   0.0100362
         360     1.91977      2.0478   0.0100146
         361      1.9094     2.04742  0.00999423
         362      1.9189     2.04707  0.00997292
         363     1.89377     2.04664  0.00995439
         364     1.89452     2.04623  0.00993581
         365     1.88066     2.04577  0.00991894
         366     1.90379     2.04538  0.00989942
         367      1.8775     2.04493  0.00988301
         368     1.92467      2.0446  0.00986155
         369     1.93101     2.04429  0.00983963
         370     1.93505       2.044  0.00981747
         371     1.97684     2.04382  0.00979267
         372     1.99036     2.04367   0.0097674
         373     1.96559     2.04346  0.00974346
         374     1.98845     2.04332  0.00971852
         375     1.94771     2.04306  0.00969595
         376     1.94643      2.0428  0.00967356
         377     1.93728     2.04252  0.00965195
         378     1.92175      2.0422  0.00963171
         379     1.91453     2.04187  0.00961218
         380     1.97762      2.0417  0.00958837
         381     1.97046     2.04151  0.00956503
         382     2.00025      2.0414   0.0095406
         383     1.98365     2.04125  0.00951688
         384     2.00222     2.04115  0.00949264
         385     1.96328     2.04095  0.00947014
         386     1.96131     2.04074  0.00944785
         387     1.96222     2.04054  0.00942562
         388     1.97296     2.04037  0.00940293
         389     1.95021     2.04013  0.00938162
         390     1.96566     2.03994  0.00935951
         391     1.95314     2.03972   0.0093382
         392     1.94476     2.03948  0.00931752
         393      1.9424     2.03923  0.00929709
         394     1.93244     2.03896  0.00927744
         395     1.94495     2.03872    0.009257
         396     1.95037      2.0385  0.00923632
         397     1.97523     2.03834  0.00921443
         398     1.98404      2.0382  0.00919228
         399     1.99232     2.03809  0.00916997
         400     1.96998     2.03792  0.00914862
