#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         278     1.36872     1.38359   0.0082665
         279     1.38867     1.38361  0.00823689
         280     1.37991      1.3836  0.00820748
         281     1.36962     1.38355  0.00817842
         282     1.36262     1.38347  0.00814976
         283     1.34617     1.38334  0.00812203
         284     1.36656     1.38328  0.00809364
         285     1.35825      1.3832  0.00806572
         286     1.37471     1.38317  0.00803757
         287     1.35079     1.38305  0.00801036
         288      1.3638     1.38299  0.00798282
         289     1.34258     1.38285  0.00795643
         290     1.33275     1.38267  0.00793087
         291       1.346     1.38255  0.00790461
         292      1.3522     1.38244  0.00787823
         293     1.33984      1.3823  0.00785268
         294     1.33415     1.38213  0.00782768
         295     1.32645     1.38195  0.00780342
         296     1.30271     1.38168  0.00778165
         297     1.31114     1.38144  0.00775907
         298     1.30459     1.38118  0.00773732
         299     1.29531      1.3809  0.00771677
         300       1.319     1.38069   0.0076938
         301     1.29805     1.38041  0.00767314
         302     1.30162     1.38015  0.00765217
         303     1.29686     1.37988  0.00763185
         304     1.30769     1.37964  0.00761043
         305     1.27974     1.37931  0.00759253
         306     1.29373     1.37903  0.00757287
         307     1.29452     1.37876   0.0075532
         308     1.28646     1.37846  0.00753462
         309     1.27868     1.37814  0.00751715
         310     1.28543     1.37784  0.00749885
         311     1.27549     1.37751  0.00748195
         312     1.29041     1.37723  0.00746318
         313     1.27827     1.37691  0.00744603
         314     1.28146     1.37661  0.00742852
         315     1.27356     1.37628  0.00741214
         316     1.28011     1.37598  0.00739493
         317     1.26635     1.37563  0.00737968
         318     1.27425     1.37531  0.00736336
         319     1.27734     1.37501  0.00734668
         320     1.29124     1.37474  0.00732838
         321     1.29296     1.37449  0.00730998
         322      1.3193     1.37432  0.00728929
         323     1.31033     1.37412  0.00726941
         324     1.30072     1.37389   0.0072505
         325      1.3035     1.37368  0.00723143
         326     1.27151     1.37336  0.00721603
         327     1.26783     1.37304  0.00720118
         328     1.25444     1.37268   0.0071883
         329     1.26183     1.37234  0.00717434
         330     1.25244     1.37198   0.0071618
         331     1.27094     1.37167  0.00714666
         332      1.2721     1.37137  0.00713142
         333     1.28691     1.37112  0.00711452
         334     1.31747     1.37096  0.00709503
         335     1.30521     1.37076  0.00707657
         336     1.31399     1.37059  0.00705752
         337     1.30843     1.37041  0.00703899
         338     1.29943      1.3702   0.0070213
         339     1.28128     1.36994  0.00700548
         340     1.28888      1.3697  0.00698893
         341     1.29527     1.36948  0.00697185
         342     1.27232      1.3692  0.00695725
         343     1.28662     1.36896  0.00694113
         344      1.2777     1.36869  0.00692602
         345     1.26626     1.36839   0.0069123
         346      1.2584     1.36808  0.00689963
         347     1.28846     1.36785  0.00688356
         348     1.29573     1.36764   0.0068669
         349     1.31357     1.36748  0.00684897
         350     1.30012     1.36729  0.00683211
         351     1.32296     1.36717  0.00681381
         352     1.29762     1.36697  0.00679731
         353     1.30571     1.36679  0.00678027
         354     1.31726     1.36665  0.00676256
         355     1.30186     1.36647  0.00674598
         356     1.27873     1.36623  0.00673153
         357     1.28041     1.36598  0.00671696
         358     1.28283     1.36575  0.00670222
         359      1.2539     1.36544  0.00669078
         360     1.27984      1.3652  0.00667642
         361     1.27293     1.36495  0.00666282
         362     1.27927     1.36471  0.00664862
         363     1.26251     1.36443  0.00663626
         364     1.26302     1.36415  0.00662387
         365     1.25378     1.36385  0.00661262
         366     1.26919     1.36359  0.00659961
         367     1.25167     1.36328  0.00658867
         368     1.28312     1.36307  0.00657437
         369     1.28734     1.36286  0.00655975
         370     1.29003     1.36266  0.00654498
         371     1.31789     1.36254  0.00652845
         372     1.32691     1.36245   0.0065116
         373     1.31039     1.36231  0.00649564
         374     1.32563     1.36221  0.00647901
         375     1.29847     1.36204  0.00646396
         376     1.29762     1.36187  0.00644904
         377     1.29152     1.36168  0.00643464
         378     1.28117     1.36147  0.00642114
         379     1.27635     1.36125  0.00640812
         380     1.31841     1.36113  0.00639225
         381     1.31364     1.36101  0.00637669
         382      1.3335     1.36094   0.0063604
         383     1.32243     1.36084  0.00634459
         384     1.33481     1.36077  0.00632843
         385     1.30885     1.36063  0.00631343
         386     1.30754      1.3605  0.00629857
         387     1.30815     1.36036  0.00628375
         388     1.31531     1.36024  0.00626862
         389     1.30014     1.36009  0.00625441
         390     1.31044     1.35996  0.00623967
         391     1.30209     1.35981  0.00622547
         392     1.29651     1.35965  0.00621168
         393     1.29493     1.35949  0.00619806
         394     1.28829     1.35931  0.00618496
         395     1.29664     1.35915  0.00617134
         396     1.30025       1.359  0.00615754
         397     1.31682     1.35889  0.00614295
         398      1.3227      1.3588  0.00612819
         399     1.32821     1.35873  0.00611331
         400     1.31332     1.35861  0.00609908
