#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.04475     2.04475           0
           2     1.96692     2.00583   0.0275184
           3     2.11955     2.04374   0.0359795
           4     2.11977     2.06275   0.0316088
           5     2.08394     2.06699   0.0255698
           6     2.02642     2.06022   0.0221842
           7       1.938     2.04276   0.0249577
           8     1.91343      2.0266   0.0265631
           9     1.82056      2.0037     0.03199
          10     1.78738     1.98207   0.0353564
          11     1.69242     1.95574   0.0407856
          12      1.7133     1.93554   0.0420944
          13     1.64175     1.91294   0.0445112
          14     1.62603     1.89244   0.0458073
          15     1.58667     1.87206   0.0470712
          16     1.57476     1.85348   0.0476557
          17     1.55076     1.83567   0.0480644
          18     1.54096      1.8193   0.0481021
          19     1.51665     1.80337   0.0481355
          20     1.52687     1.78954   0.0476728
          21     1.51641     1.77654   0.0471435
          22     1.51194     1.76451   0.0465095
          23     1.50881     1.75339   0.0457968
          24     1.48381     1.74216   0.0452451
          25     1.46619     1.73112   0.0447617
          26     1.44559     1.72014   0.0443668
          27     1.44616     1.70999   0.0438687
          28     1.43062     1.70001   0.0434218
          29     1.44981     1.69139   0.0427731
          30     1.43847     1.68296     0.04217
          31     1.45701     1.67567   0.0414347
          32     1.44479     1.66845   0.0407632
          33     1.44371     1.66164   0.0400929
          34     1.45362     1.65552   0.0393777
          35     1.43599     1.64925    0.038749
          36     1.46335     1.64409   0.0380152
          37     1.49439     1.64004   0.0372024
          38     1.48665       1.636   0.0364417
          39     1.48479     1.63213    0.035713
          40     1.45974     1.62782   0.0350792
          41     1.45463     1.62359    0.034477
          42     1.44277     1.61929   0.0339239
          43     1.42862     1.61485   0.0334235
          44     1.42906     1.61063   0.0329295
          45     1.42066     1.60641   0.0324672
          46     1.39182     1.60175   0.0320948
          47     1.38775     1.59719   0.0317333
          48     1.40481     1.59318   0.0313243
          49     1.39023     1.58904   0.0309576
          50     1.41842     1.58563    0.030526
          51     1.41446     1.58227   0.0301113
          52     1.41395     1.57904   0.0297058
          53     1.42096     1.57605   0.0292946
          54      1.4325      1.5734   0.0288725
          55     1.43842     1.57094   0.0284516
          56     1.44411     1.56868   0.0280336
          57       1.462     1.56681   0.0276042
          58     1.44675     1.56474   0.0272057
          59     1.46785     1.56309   0.0267941
          60     1.44606     1.56114   0.0264185
          61     1.45341     1.55938   0.0260443
          62     1.42116     1.55715   0.0257195
          63      1.4333     1.55518   0.0253863
          64     1.43345     1.55328   0.0250608
          65     1.42428     1.55129   0.0247537
          66     1.41906     1.54929   0.0244596
          67     1.44192     1.54769   0.0241469
          68     1.42578      1.5459   0.0238583
          69     1.43358     1.54427    0.023568
          70     1.41929     1.54248   0.0232988
          71     1.41986     1.54076   0.0230346
          72     1.41447       1.539   0.0227813
          73     1.41814     1.53735   0.0225293
          74      1.3963     1.53544   0.0223054
          75     1.42439     1.53396   0.0220571
          76       1.442     1.53275      0.0218
          77     1.43932     1.53154   0.0215506
          78     1.44025     1.53037   0.0213061
          79       1.421     1.52898   0.0210813
          80     1.41047      1.5275   0.0208698
          81     1.39461     1.52586   0.0206765
          82     1.38874     1.52419   0.0204919
          83     1.38882     1.52256   0.0203098
          84      1.3723     1.52077   0.0201466
          85     1.34867     1.51874   0.0200111
          86     1.34838     1.51676   0.0198762
          87     1.34393     1.51478   0.0197468
          88     1.33826     1.51277    0.019624
          89     1.32653     1.51068   0.0195147
          90     1.34436     1.50883   0.0193852
          91     1.35777     1.50717   0.0192431
          92     1.33071     1.50525   0.0191293
          93     1.34764     1.50356   0.0189985
          94     1.33096     1.50172   0.0188849
          95     1.32345     1.49984   0.0187791
          96     1.32038     1.49797   0.0186763
          97     1.31618      1.4961   0.0185776
          98      1.3173     1.49428   0.0184774
          99     1.30441     1.49236     0.01839
         100     1.32301     1.49066   0.0182839
         101     1.33625     1.48914   0.0181667
         102     1.30621     1.48734   0.0180769
         103     1.34978     1.48601   0.0179507
         104     1.32694     1.48448   0.0178431
         105      1.3328     1.48303   0.0177315
         106     1.32132     1.48151   0.0176298
         107      1.3173     1.47997   0.0175317
         108     1.32188     1.47851   0.0174304
         109     1.33749     1.47721   0.0173184
         110     1.33563     1.47593   0.0172087
         111     1.35452     1.47483   0.0170884
         112     1.35475     1.47376   0.0169694
         113     1.38656     1.47299   0.0168368
         114     1.38179     1.47219   0.0167081
         115     1.37601     1.47135   0.0165837
         116     1.35959     1.47039   0.0164687
         117     1.35014     1.46936     0.01636
         118     1.33952     1.46826   0.0162583
         119     1.31963     1.46701   0.0161696
         120      1.3349     1.46591   0.0160723
         121      1.3435      1.4649   0.0159713
         122     1.35425     1.46399   0.0158661
         123     1.35923     1.46314     0.01576
         124     1.35167     1.46224   0.0156585
         125     1.36867     1.46149   0.0155511
         126     1.35973     1.46069   0.0154486
         127     1.35469     1.45985   0.0153495
         128     1.36188     1.45909   0.0152487
         129     1.35946     1.45831     0.01515
         130     1.36642     1.45761     0.01505
         131     1.38317     1.45704   0.0149458
         132     1.36952     1.45638   0.0148473
         133     1.36957     1.45572     0.01475
         134     1.37936     1.45515   0.0146509
         135     1.35779     1.45443   0.0145601
         136     1.31772     1.45343   0.0144877
         137     1.32944     1.45252   0.0144102
         138     1.32774     1.45162   0.0143341
         139     1.31562     1.45064   0.0142644
         140     1.33511     1.44981   0.0141863
         141     1.32527     1.44893   0.0141132
         142     1.34639     1.44821   0.0140322
         143     1.34013     1.44745   0.0139545
         144     1.34244     1.44672   0.0138766
         145     1.33116     1.44593   0.0138038
         146     1.33296     1.44515   0.0137309
         147     1.32137     1.44431   0.0136633
         148     1.30577     1.44337    0.013603
         149        1.33     1.44261   0.0135329
         150     1.31737     1.44178   0.0134685
         151      1.3119     1.44092   0.0134067
         152     1.32472     1.44015   0.0133403
         153     1.32141     1.43938   0.0132756
         154     1.31227     1.43855   0.0132151
         155     1.30385     1.43768   0.0131584
         156     1.32055     1.43693   0.0130954
         157     1.32291     1.43621   0.0130321
         158       1.331     1.43554   0.0129667
         159     1.34669     1.43498   0.0128971
         160     1.36115     1.43452   0.0128248
         161     1.35755     1.43404    0.012754
         162     1.38694     1.43375   0.0126786
         163      1.3796     1.43342   0.0126052
         164     1.37637     1.43307   0.0125331
         165     1.37447     1.43272   0.0124622
         166     1.35777     1.43226   0.0123953
         167      1.3486     1.43176   0.0123312
         168     1.32879     1.43115    0.012273
         169     1.32365     1.43051   0.0122169
         170     1.31482     1.42983    0.012164
         171     1.30332     1.42909   0.0121153
         172     1.30729     1.42839   0.0120655
         173     1.30422     1.42767   0.0120171
         174     1.29538     1.42691   0.0119721
         175     1.31662     1.42628   0.0119202
         176     1.31386     1.42564   0.0118696
         177     1.32965      1.4251   0.0118149
         178     1.33705      1.4246   0.0117589
         179     1.32549     1.42405   0.0117063
         180      1.3299     1.42353   0.0116529
         181     1.31569     1.42293   0.0116037
         182     1.31848     1.42236   0.0115542
         183     1.31081     1.42175   0.0115071
         184     1.33482     1.42127   0.0114542
         185     1.33702     1.42082   0.0114014
         186     1.33625     1.42036   0.0113491
         187     1.35494     1.42001   0.0112938
         188      1.3536     1.41966   0.0112393
         189     1.32906     1.41918     0.01119
         190     1.36303     1.41889   0.0111351
         191     1.32947     1.41842   0.0110866
         192      1.3245     1.41793   0.0110396
         193     1.33962     1.41752   0.0109899
         194      1.3312     1.41708   0.0109422
         195     1.35403     1.41675   0.0108909
         196     1.33834     1.41635   0.0108427
         197     1.35358     1.41604   0.0107923
         198     1.36507     1.41578   0.0107409
         199     1.32921     1.41534   0.0106957
         200     1.33175     1.41493   0.0106504
         201     1.32262     1.41447   0.0106073
         202     1.32078       1.414   0.0105649
         203     1.31107      1.4135   0.0105251
         204     1.30637     1.41297   0.0104866
         205     1.31149     1.41248   0.0104471
         206     1.29765     1.41192   0.0104112
         207     1.30716     1.41141   0.0103732
         208     1.30182     1.41088   0.0103367
         209     1.30494     1.41038   0.0102997
         210     1.28483     1.40978    0.010268
         211     1.29539     1.40924   0.0102336
         212     1.29352     1.40869   0.0101999
         213     1.26966     1.40804   0.0101729
         214     1.28339     1.40746    0.010142
         215     1.27748     1.40685   0.0101128
         216      1.2804     1.40627   0.0100829
         217     1.27328     1.40565   0.0100551
         218     1.28086     1.40508   0.0100252
         219     1.28136     1.40452  0.00999537
         220     1.29385     1.40401  0.00996258
         221     1.29602     1.40352  0.00992948
         222     1.29345     1.40303  0.00989712
         223     1.33229     1.40271  0.00985782
         224     1.33395      1.4024  0.00981859
         225     1.35086     1.40218  0.00977763
         226     1.36097     1.40199  0.00973606
         227     1.35938     1.40181  0.00969498
         228      1.3512     1.40158    0.009655
         229     1.32526     1.40125  0.00961859
         230     1.30876     1.40085  0.00958517
         231     1.29413     1.40039  0.00955481
         232     1.29469     1.39993  0.00952448
         233       1.287     1.39945  0.00949592
         234     1.28105     1.39894  0.00946881
         235     1.29522      1.3985   0.0094388
         236     1.28434     1.39802  0.00941119
         237     1.29061     1.39756  0.00938239
         238     1.30874     1.39719  0.00935039
         239     1.28668     1.39673  0.00932269
         240     1.30069     1.39633  0.00929243
         241     1.28914     1.39588  0.00926451
         242     1.28197     1.39541  0.00923817
         243      1.2645     1.39487  0.00921585
         244      1.2811     1.39441  0.00918987
         245     1.28943     1.39398  0.00916234
         246     1.27892     1.39351  0.00913703
         247     1.30433     1.39315  0.00910716
         248      1.3084     1.39281  0.00907685
         249     1.31267     1.39248   0.0090461
         250     1.30685     1.39214   0.0090164
         251     1.31448     1.39183  0.00898579
         252      1.3074      1.3915  0.00895637
         253     1.31687      1.3912  0.00892583
         254      1.3003     1.39085  0.00889786
         255     1.30501     1.39051  0.00886933
         256     1.28703      1.3901  0.00884389
         257     1.29589     1.38974  0.00881707
         258     1.29764     1.38938  0.00879012
         259     1.29726     1.38902  0.00876338
         260     1.29494     1.38866  0.00873714
         261     1.28889     1.38828  0.00871202
         262     1.30963     1.38798  0.00868394
         263     1.29025     1.38761  0.00865887
         264      1.2989     1.38727  0.00863259
         265     1.30249     1.38695  0.00860594
         266     1.29232      1.3866  0.00858093
         267     1.28951     1.38623   0.0085565
         268     1.27573     1.38582   0.0085345
         269     1.27603     1.38541  0.00851252
         270      1.2843     1.38504  0.00848923
         271     1.29056     1.38469  0.00846506
         272     1.29351     1.38435  0.00844057
         273     1.31601      1.3841  0.00841337
         274     1.32851      1.3839  0.00838511
         275     1.34636     1.38377  0.00835573
         276     1.35251     1.38365  0.00832622
         277     1.38233     1.38365  0.00829616
