#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.56941     1.56941           0
           2     1.57387     1.57164  0.00157538
           3     1.56897     1.57075  0.00127743
           4     1.57339     1.57141  0.00111549
           5     1.57386      1.5719 0.000994697
           6     1.57308      1.5721 0.000848095
           7     1.57414     1.57239 0.000775839
           8     1.57448     1.57265 0.000721629
           9     1.57481     1.57289 0.000680071
          10      1.5753     1.57313 0.000653288
          11      1.5744     1.57325 0.000604068
          12     1.57574     1.57345 0.000588382
          13     1.57597     1.57365 0.000574044
          14     1.57561     1.57379  0.00054995
          15     1.57665     1.57398 0.000545397
          16     1.57583     1.57409 0.000523401
          17     1.57682     1.57425 0.000516539
          18     1.57661     1.57438 0.000504217
          19     1.57659      1.5745 0.000490811
          20     1.57642      1.5746 0.000475531
          21     1.57718     1.57472 0.000468541
          22     1.57698     1.57482 0.000458325
          23     1.57776     1.57495 0.000455815
          24     1.57671     1.57502 0.000442663
          25     1.57801     1.57514 0.000440759
          26     1.57714     1.57522 0.000430461
          27     1.57729      1.5753 0.000421326
          28     1.57697     1.57536 0.000410518
          29     1.57752     1.57543 0.000403085
          30     1.57673     1.57547 0.000391971
          31     1.57729     1.57553 0.000383659
          32     1.57777      1.5756 0.000378013
          33     1.57656     1.57563 0.000367665
          34     1.57743     1.57568 0.000360649
          35     1.57664     1.57571 0.000351371
          36      1.5767     1.57574 0.000342674
          37     1.57696     1.57577 0.000335007
          38     1.57735     1.57581 0.000328768
          39     1.57655     1.57583 0.000320876
          40     1.57824     1.57589 0.000318442
          41     1.57665     1.57591 0.000311209
          42     1.57741     1.57595 0.000305826
          43     1.57708     1.57597 0.000299837
          44     1.57679     1.57599 0.000293597
          45     1.57728     1.57602 0.000288456
          46     1.57769     1.57606 0.000284448
          47      1.5767     1.57607 0.000278729
          48     1.57683     1.57609 0.000273375
          49     1.57684      1.5761 0.000268225
          50     1.57694     1.57612 0.000263386
          51     1.57687     1.57613 0.000258636
          52      1.5768     1.57615 0.000253979
          53     1.57727     1.57617  0.00025007
          54     1.57656     1.57617 0.000245543
          55     1.57747      1.5762 0.000242207
          56     1.57664     1.57621 0.000238013
          57     1.57676     1.57622 0.000234039
          58     1.57713     1.57623 0.000230535
          59     1.57694     1.57624 0.000226944
          60     1.57697     1.57626 0.000223485
          61     1.57789     1.57628 0.000221422
          62     1.57647     1.57629 0.000217872
          63     1.57679     1.57629 0.000214563
          64     1.57729     1.57631 0.000211776
          65     1.57752     1.57633  0.00020934
          66     1.57617     1.57633 0.000206182
          67      1.5778     1.57635 0.000204274
          68     1.57661     1.57635 0.000201307
          69     1.57676     1.57636 0.000198477
          70      1.5776     1.57637 0.000196434
          71     1.57704     1.57638 0.000193893
          72     1.57695     1.57639 0.000191362
          73      1.5775     1.57641 0.000189338
          74     1.57676     1.57641  0.00018684
          75     1.57701     1.57642  0.00018452
          76     1.57665     1.57642 0.000182117
          77      1.5772     1.57643 0.000180031
          78     1.57765     1.57645 0.000178401
          79     1.57738     1.57646 0.000176535
          80     1.57685     1.57647 0.000174397
          81     1.57785     1.57648 0.000173082
          82     1.57699     1.57649 0.000171082
          83     1.57736      1.5765 0.000169341
          84     1.57787     1.57652  0.00016811
          85     1.57683     1.57652 0.000166173
          86     1.57765     1.57653 0.000164759
          87     1.57718     1.57654 0.000163032
          88     1.57707     1.57655 0.000161291
          89     1.57774     1.57656 0.000160032
          90     1.57689     1.57656 0.000158297
          91     1.57763     1.57657 0.000156992
          92     1.57734     1.57658 0.000155506
          93     1.57726     1.57659 0.000154004
          94      1.5782     1.57661 0.000153319
          95     1.57726     1.57661 0.000151858
          96     1.57751     1.57662  0.00015056
          97     1.57816     1.57664 0.000149837
          98     1.57694     1.57664  0.00014834
          99     1.57779     1.57665 0.000147294
         100     1.57719     1.57666 0.000145918
         101     1.57776     1.57667 0.000144882
         102     1.57779     1.57668 0.000143879
         103     1.57757     1.57669 0.000142741
         104     1.57716     1.57669 0.000141441
         105     1.57789     1.57671 0.000140552
         106     1.57769     1.57672 0.000139532
         107     1.57767     1.57672 0.000138515
         108     1.57757     1.57673 0.000137454
         109     1.57733     1.57674   0.0001363
         110     1.57785     1.57675 0.000135436
         111     1.57735     1.57675 0.000134326
         112     1.57722     1.57676 0.000133192
         113     1.57739     1.57676 0.000132131
         114     1.57794     1.57677 0.000131372
         115     1.57763     1.57678 0.000130442
         116      1.5782     1.57679  0.00012989
         117     1.57794      1.5768 0.000129147
         118     1.57747     1.57681 0.000128174
         119     1.57767     1.57682 0.000127301
         120     1.57736     1.57682 0.000126322
         121     1.57771     1.57683 0.000125491
         122     1.57708     1.57683  0.00012448
         123     1.57823     1.57684 0.000123987
         124     1.57658     1.57684 0.000123005
         125      1.5785     1.57685 0.000122736
