#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.409189   -0.583254   0.0201015
         153   -0.404476   -0.582085    0.020004
         154   -0.390662   -0.580842   0.0199127
         155   -0.378203   -0.579535   0.0198271
         156   -0.403164   -0.578404   0.0197322
         157   -0.406669    -0.57731   0.0196368
         158   -0.419186   -0.576309    0.019538
         159   -0.442405   -0.575467   0.0194333
         160   -0.464189   -0.574772   0.0193243
         161   -0.458939   -0.574052   0.0192176
         162   -0.502929   -0.573613    0.019104
         163   -0.491715   -0.573111   0.0189934
         164   -0.487051   -0.572586   0.0188849
         165   -0.483818   -0.572048   0.0187781
         166   -0.458616   -0.571365   0.0186774
         167   -0.445443   -0.570611   0.0185807
         168   -0.415396   -0.569687   0.0184931
         169   -0.407562   -0.568728   0.0184085
         170   -0.395067   -0.567706   0.0183286
         171   -0.376579   -0.566588   0.0182554
         172   -0.383766   -0.565525   0.0181802
         173   -0.378332   -0.564443   0.0181073
         174   -0.365804   -0.563302   0.0180392
         175   -0.397787   -0.562356   0.0179609
         176   -0.393267   -0.561395   0.0178845
         177   -0.416842   -0.560579   0.0178021
         178    -0.42828   -0.559835   0.0177176
         179   -0.410564   -0.559001   0.0176382
         180   -0.417502   -0.558215   0.0175578
         181   -0.395712   -0.557317   0.0174837
         182   -0.400172   -0.556454   0.0174089
         183   -0.388839   -0.555538   0.0173379
         184   -0.424932   -0.554828   0.0172582
         185   -0.427771   -0.554141   0.0171786
         186    -0.42704   -0.553458   0.0170998
         187   -0.455054   -0.552932   0.0170164
         188   -0.452736   -0.552399   0.0169343
         189   -0.416108   -0.551678     0.01686
         190   -0.466818   -0.551231   0.0167772
         191   -0.416067   -0.550524   0.0167043
         192   -0.409653    -0.54979   0.0166334
         193   -0.431604   -0.549177   0.0165585
         194    -0.41942   -0.548509   0.0164866
         195   -0.453428   -0.548021   0.0164093
         196   -0.429954   -0.547419   0.0163366
         197   -0.453247   -0.546941   0.0162607
         198   -0.469599    -0.54655   0.0161832
         199   -0.416137   -0.545895   0.0161152
         200   -0.419883   -0.545265   0.0160469
         201   -0.406246   -0.544573    0.015982
         202   -0.403329   -0.543874   0.0159181
         203   -0.389073   -0.543111    0.015858
         204   -0.382003   -0.542321   0.0157999
         205   -0.389148   -0.541574   0.0157405
         206   -0.369213   -0.540738   0.0156863
         207   -0.383057   -0.539976    0.015629
         208   -0.375076   -0.539183    0.015574
         209   -0.379385   -0.538418   0.0155182
         210   -0.349606   -0.537519   0.0154703
         211    -0.36551   -0.536704   0.0154185
         212   -0.362239   -0.535881   0.0153677
         213   -0.326719   -0.534899   0.0153269
         214    -0.34774   -0.534025   0.0152802
         215   -0.338559   -0.533115   0.0152361
         216   -0.342847   -0.532235   0.0151911
         217   -0.332582   -0.531315   0.0151489
         218   -0.343387   -0.530452   0.0151039
         219   -0.344888   -0.529605   0.0150587
         220   -0.363217   -0.528849   0.0150092
         221   -0.366325   -0.528113   0.0149593
         222   -0.362803   -0.527369   0.0149104
         223    -0.42117   -0.526893   0.0148512
         224   -0.424016   -0.526433    0.014792
         225   -0.447847   -0.526084   0.0147304
         226   -0.464362   -0.525811   0.0146677
         227   -0.461636   -0.525528   0.0146058
         228   -0.448914   -0.525192   0.0145456
         229   -0.409883   -0.524689   0.0144908
         230   -0.384918   -0.524081   0.0144406
         231   -0.363453   -0.523386   0.0143948
         232   -0.364496   -0.522701    0.014349
         233   -0.352239   -0.521969   0.0143061
         234   -0.344478   -0.521211    0.014265
         235   -0.365193   -0.520547   0.0142198
         236   -0.348693   -0.519819   0.0141781
         237   -0.358633   -0.519138   0.0141346
         238   -0.385579   -0.518577   0.0140864
         239   -0.352136   -0.517881   0.0140446
         240   -0.373496   -0.517279    0.013999
         241   -0.355858   -0.516609   0.0139569
         242   -0.345124   -0.515901   0.0139172
         243   -0.319162   -0.515091   0.0138835
         244   -0.343886    -0.51439   0.0138443
         245   -0.356902   -0.513747   0.0138027
         246   -0.340604   -0.513043   0.0137645
         247   -0.378885     -0.5125   0.0137195
         248   -0.385342   -0.511987   0.0136738
         249   -0.391315   -0.511502   0.0136274
         250   -0.382543   -0.510987   0.0135827
         251   -0.394221   -0.510521   0.0135365
         252   -0.383618   -0.510018   0.0134922
         253   -0.397529   -0.509573   0.0134462
         254   -0.372553   -0.509034   0.0134041
         255   -0.380088   -0.508528    0.013361
         256   -0.352637   -0.507919   0.0133227
         257   -0.366252   -0.507368   0.0132823
         258   -0.368532    -0.50683   0.0132417
         259   -0.368202   -0.506294   0.0132014
         260   -0.364381   -0.505749   0.0131619
         261   -0.356237   -0.505176   0.0131239
         262   -0.386755   -0.504724   0.0130816
         263   -0.357166   -0.504163   0.0130439
         264   -0.371316    -0.50366   0.0130042
         265   -0.375602   -0.503176   0.0129641
         266   -0.360717   -0.502641   0.0129264
         267   -0.356143   -0.502092   0.0128896
         268   -0.336169   -0.501473   0.0128564
         269   -0.336458    -0.50086   0.0128232
         270   -0.348701   -0.500296   0.0127881
         271   -0.358228   -0.499772   0.0127517
         272   -0.362961   -0.499269   0.0127147
         273   -0.396766   -0.498893   0.0126737
         274   -0.415219   -0.498588   0.0126311
         275    -0.44254   -0.498384   0.0125868
         276    -0.45073   -0.498211   0.0125424
         277   -0.496777   -0.498206   0.0124971
         278   -0.474731   -0.498122   0.0124524
         279   -0.505798   -0.498149   0.0124078
         280   -0.492532   -0.498129   0.0123635
         281   -0.476266   -0.498051   0.0123198
         282   -0.466154   -0.497938   0.0122766
         283   -0.442073   -0.497741   0.0122348
         284   -0.472109   -0.497651   0.0121921
         285    -0.46023   -0.497519     0.01215
         286    -0.48403   -0.497472   0.0121076
         287   -0.448731   -0.497302   0.0120666
         288   -0.468289   -0.497202   0.0120251
         289   -0.435786   -0.496989   0.0119854
         290   -0.421934    -0.49673   0.0119469
         291   -0.441727   -0.496541   0.0119073
         292   -0.450851   -0.496385   0.0118676
         293   -0.432171   -0.496166   0.0118291
         294   -0.423613   -0.495919   0.0117914
         295   -0.411296   -0.495632   0.0117549
         296   -0.376797   -0.495231   0.0117221
         297    -0.38963   -0.494875    0.011688
         298   -0.378597   -0.494485   0.0116553
         299   -0.366026   -0.494055   0.0116242
         300   -0.400715   -0.493744   0.0115896
         301   -0.369398   -0.493331   0.0115585
         302   -0.374894   -0.492939   0.0115269
         303   -0.367704   -0.492525   0.0114962
         304   -0.383232   -0.492166    0.011464
         305   -0.342283   -0.491675    0.011437
         306   -0.362898   -0.491254   0.0114074
         307   -0.363919   -0.490839   0.0113777
         308   -0.351735   -0.490387   0.0113498
         309   -0.340666   -0.489903   0.0113234
         310   -0.349984   -0.489451   0.0112958
         311   -0.335563   -0.488957   0.0112703
         312   -0.358069   -0.488537    0.011242
         313   -0.339689   -0.488062   0.0112162
         314   -0.344004   -0.487603   0.0111898
         315   -0.332916   -0.487112   0.0111651
         316   -0.342077   -0.486653   0.0111392
         317   -0.321718   -0.486132   0.0111162
         318   -0.333475   -0.485652   0.0110916
         319   -0.338675   -0.485192   0.0110664
         320   -0.359174   -0.484798   0.0110388
         321   -0.361791   -0.484415    0.011011
         322   -0.401489   -0.484157   0.0109799
         323    -0.38756   -0.483858   0.0109499
         324    -0.37309   -0.483516   0.0109215
         325   -0.377067   -0.483189   0.0108928
         326   -0.329654   -0.482718   0.0108695
         327   -0.323451   -0.482231   0.0108472
         328   -0.303974   -0.481687   0.0108278
         329   -0.314877    -0.48118   0.0108067
         330   -0.300878   -0.480634   0.0107878
         331   -0.328981   -0.480176   0.0107649
         332   -0.330256   -0.479724   0.0107419
         333    -0.35294   -0.479343   0.0107164
         334   -0.398876   -0.479102    0.010687
         335   -0.379989   -0.478806   0.0106592
         336   -0.393279   -0.478552   0.0106306
         337   -0.384859   -0.478274   0.0106026
         338   -0.371173   -0.477957    0.010576
         339   -0.343955   -0.477562   0.0105522
         340   -0.356058   -0.477204   0.0105272
         341   -0.365063   -0.476876   0.0105015
         342   -0.330675   -0.476448   0.0104795
         343   -0.352416   -0.476086   0.0104551
         344   -0.338707   -0.475687   0.0104324
         345   -0.321623    -0.47524   0.0104117
         346    -0.31013   -0.474763   0.0103925
         347   -0.355222   -0.474419   0.0103683
         348   -0.366189   -0.474108   0.0103432
         349   -0.392238   -0.473873   0.0103162
         350   -0.373268   -0.473586   0.0102907
         351    -0.40641   -0.473394   0.0102632
         352   -0.368835   -0.473097   0.0102383
         353   -0.380892   -0.472836   0.0102126
         354   -0.398396   -0.472626    0.010186
         355   -0.374314   -0.472349    0.010161
         356   -0.340817   -0.471979   0.0101392
         357   -0.342694   -0.471617   0.0101173
         358   -0.346548   -0.471268    0.010095
         359   -0.303277     -0.4708   0.0100778
         360   -0.342105   -0.470443   0.0100561
         361   -0.331665   -0.470058   0.0100356
         362   -0.341243   -0.469702   0.0100142
         363   -0.315964   -0.469279  0.00999554
         364   -0.316185   -0.468858  0.00997692
         365   -0.303498   -0.468405  0.00995987
         366   -0.326227   -0.468017  0.00994023
