#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.56162    -5.56162           0
           2    -5.52273    -5.54218   0.0137504
           3    -5.53734    -5.54057  0.00926097
           4    -5.56028    -5.54549  0.00815201
           5    -5.57591    -5.55158  0.00849327
           6    -5.53358    -5.54858  0.00758873
           7    -5.54563    -5.54816  0.00651631
           8    -5.54888    -5.54825   0.0057024
           9    -5.54083    -5.54742  0.00512794
          10    -5.52593    -5.54527  0.00504567
