#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.858102    0.858102           0
           2    0.824312    0.841207   0.0119465
           3    0.836828    0.839748  0.00805305
           4    0.858324    0.844392  0.00725636
           5    0.872574    0.850028  0.00768863
           6    0.831873    0.847002  0.00697725
           7    0.842749    0.846395   0.0060069
           8    0.847629    0.846549  0.00525802
           9    0.837825     0.84558   0.0047623
          10     0.82344    0.843366  0.00477302
