#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.00073    -6.16504  0.00917426
         153    -5.98482    -6.16386  0.00918961
         154    -5.99203    -6.16275  0.00919742
         155    -5.99403    -6.16166  0.00920227
         156    -5.99923    -6.16062  0.00920201
         157    -5.99428    -6.15956  0.00920418
         158    -5.99121    -6.15849   0.0092074
         159    -5.98655    -6.15741  0.00921277
         160    -5.99127    -6.15637  0.00921353
         161     -5.9912    -6.15535  0.00921324
         162     -5.9989    -6.15438  0.00920685
         163    -5.99451     -6.1534  0.00920246
         164     -5.9808    -6.15235  0.00920633
         165    -5.97571    -6.15128  0.00921256
         166    -5.97455    -6.15021  0.00921838
         167    -5.96702    -6.14912  0.00922822
         168    -5.96885    -6.14804  0.00923546
         169    -5.95881    -6.14692  0.00924844
         170    -5.95069    -6.14577  0.00926579
         171    -5.96451    -6.14471  0.00927204
         172    -5.95047    -6.14358  0.00928665
         173    -5.96079    -6.14252  0.00929289
         174    -5.97298    -6.14155  0.00929043
         175    -5.96383    -6.14053  0.00929268
         176    -5.95365    -6.13947  0.00930035
         177    -5.95406    -6.13842  0.00930662
         178    -5.95218    -6.13738  0.00931296
         179    -5.94604    -6.13631  0.00932208
         180     -5.9379    -6.13521  0.00933523
         181    -5.93333    -6.13409  0.00935004
         182    -5.93209    -6.13298  0.00936431
         183    -5.91167    -6.13177  0.00939091
         184    -5.93364     -6.1307  0.00940141
         185     -5.9431    -6.12968  0.00940512
         186    -5.93741    -6.12865  0.00941119
         187    -5.93207     -6.1276  0.00941939
         188    -5.92433    -6.12652  0.00943113
         189    -5.92818    -6.12547  0.00943943
         190    -5.92197     -6.1244  0.00945031
         191    -5.90732    -6.12326  0.00946893
         192    -5.88758    -6.12203  0.00949884
         193    -5.88567    -6.12081  0.00952824
         194    -5.88077    -6.11957  0.00955912
         195    -5.87386    -6.11831  0.00959279
         196    -5.86252      -6.117  0.00963221
         197    -5.85597    -6.11568  0.00967403
         198    -5.86744    -6.11443  0.00970607
         199    -5.85506    -6.11312  0.00974441
         200    -5.87052    -6.11191   0.0097709
         201    -5.87303    -6.11072  0.00979429
         202    -5.86375     -6.1095  0.00982182
         203    -5.85798    -6.10826  0.00985128
         204    -5.85285    -6.10701  0.00988223
         205    -5.85972     -6.1058  0.00990737
         206     -5.8643    -6.10463   0.0099284
         207    -5.85804    -6.10344  0.00995164
         208     -5.8611    -6.10227  0.00997177
         209    -5.85833     -6.1011  0.00999213
         210      -5.858    -6.09995   0.0100114
         211    -5.85848     -6.0988   0.0100291
         212    -5.86977    -6.09772   0.0100398
         213    -5.87167    -6.09666   0.0100486
         214    -5.87688    -6.09563    0.010054
         215    -5.88327    -6.09465   0.0100557
         216    -5.88933     -6.0937   0.0100539
         217    -5.88081    -6.09271   0.0100554
         218    -5.86823    -6.09169   0.0100618
         219    -5.87267    -6.09069   0.0100655
         220    -5.86388    -6.08965   0.0100724
         221    -5.87269    -6.08867   0.0100745
         222    -5.87243     -6.0877   0.0100761
         223    -5.86239    -6.08669   0.0100815
         224     -5.8733    -6.08574   0.0100814
         225    -5.86699    -6.08476   0.0100833
         226    -5.86976    -6.08381   0.0100835
         227     -5.8655    -6.08285   0.0100848
         228    -5.85857    -6.08187   0.0100884
         229    -5.86732    -6.08093   0.0100878
         230    -5.85094    -6.07993   0.0100934
         231    -5.82665    -6.07883   0.0101091
         232    -5.82449    -6.07774   0.0101248
         233     -5.8258    -6.07666   0.0101389
         234    -5.83308    -6.07561   0.0101488
         235    -5.85403    -6.07467   0.0101494
         236    -5.86149    -6.07377   0.0101465
         237    -5.84105    -6.07279   0.0101511
         238    -5.83285    -6.07178   0.0101584
         239    -5.82045    -6.07073   0.0101701
         240    -5.81196    -6.06965   0.0101848
         241    -5.81339    -6.06859   0.0101978
         242     -5.8032    -6.06749   0.0102145
         243    -5.80943    -6.06643   0.0102275
         244    -5.79648    -6.06532   0.0102453
         245    -5.79535    -6.06422   0.0102625
         246    -5.78496    -6.06308   0.0102834
         247    -5.78536    -6.06196   0.0103031
         248    -5.79303    -6.06087   0.0103184
         249    -5.77319    -6.05972   0.0103415
         250    -5.76286    -6.05853   0.0103681
         251     -5.7446    -6.05728   0.0104019
         252    -5.74499    -6.05604   0.0104342
         253    -5.73868    -6.05479   0.0104681
         254    -5.73555    -6.05353    0.010502
         255    -5.74036     -6.0523   0.0105324
         256    -5.73335    -6.05106   0.0105647
         257    -5.74328    -6.04986   0.0105913
         258    -5.72847    -6.04861   0.0106232
         259    -5.71748    -6.04733   0.0106589
         260    -5.72079    -6.04608   0.0106916
         261     -5.7162    -6.04481   0.0107251
         262    -5.72653     -6.0436   0.0107527
         263    -5.72839     -6.0424   0.0107784
         264    -5.72292    -6.04119   0.0108053
         265    -5.74391    -6.04007   0.0108226
         266     -5.7149    -6.03885   0.0108508
         267    -5.71726    -6.03764   0.0108768
         268     -5.7334    -6.03651   0.0108953
         269    -5.72213    -6.03534   0.0109173
         270    -5.72753     -6.0342   0.0109362
         271    -5.71256    -6.03301     0.01096
         272    -5.69794    -6.03178   0.0109888
         273    -5.72123    -6.03064   0.0110072
         274    -5.71365    -6.02949   0.0110277
         275    -5.69815    -6.02828   0.0110532
         276    -5.69521    -6.02707   0.0110788
         277    -5.68263    -6.02583   0.0111084
         278    -5.66247    -6.02452   0.0111451
         279    -5.67419    -6.02327   0.0111757
         280     -5.6796    -6.02204   0.0112029
         281    -5.69677    -6.02088   0.0112227
         282    -5.71063    -6.01978   0.0112367
         283    -5.71403     -6.0187   0.0112488
         284    -5.72073    -6.01765    0.011258
         285    -5.71346    -6.01659    0.011269
         286    -5.73073    -6.01559   0.0112739
         287     -5.7479    -6.01465   0.0112731
         288    -5.77203    -6.01381   0.0112654
         289    -5.76666    -6.01296   0.0112588
         290    -5.75178    -6.01206    0.011256
         291    -5.75656    -6.01118   0.0112515
         292    -5.75598     -6.0103   0.0112468
         293    -5.76293    -6.00946   0.0112401
         294      -5.754    -6.00859   0.0112354
         295    -5.74909    -6.00771   0.0112317
         296    -5.76512    -6.00689   0.0112236
         297    -5.76736    -6.00608   0.0112148
         298    -5.75763    -6.00525   0.0112081
         299    -5.74837    -6.00439   0.0112035
         300    -5.74391    -6.00352   0.0111997
         301    -5.74387    -6.00266   0.0111957
         302    -5.75698    -6.00185   0.0111881
         303    -5.76432    -6.00106   0.0111786
         304    -5.76922     -6.0003   0.0111678
         305    -5.77123    -5.99955   0.0111564
         306    -5.77238    -5.99881   0.0111447
         307    -5.76442    -5.99804   0.0111345
         308    -5.78312    -5.99735   0.0111202
         309    -5.78161    -5.99665   0.0111061
         310    -5.77467    -5.99593   0.0110933
         311    -5.77544    -5.99522   0.0110803
         312    -5.79686    -5.99459    0.011063
         313    -5.78316    -5.99391   0.0110482
         314    -5.78451    -5.99324   0.0110332
         315    -5.77645    -5.99256   0.0110196
         316     -5.7902    -5.99192   0.0110033
         317    -5.78299    -5.99126   0.0109883
         318    -5.77382    -5.99057    0.010975
         319    -5.77563     -5.9899   0.0109613
         320    -5.77276    -5.98922    0.010948
         321    -5.78491    -5.98858   0.0109324
         322    -5.79441    -5.98798   0.0109151
         323    -5.78996    -5.98737   0.0108985
         324    -5.77044     -5.9867   0.0108854
         325    -5.77737    -5.98605   0.0108709
         326    -5.78331    -5.98543   0.0108554
         327    -5.78771    -5.98483    0.010839
         328     -5.7753    -5.98419   0.0108247
         329    -5.78168    -5.98357   0.0108093
         330    -5.77061    -5.98293   0.0107958
         331    -5.76049    -5.98226   0.0107841
         332    -5.76469     -5.9816   0.0107715
         333    -5.75626    -5.98092   0.0107604
         334    -5.76747    -5.98028   0.0107471
         335    -5.76255    -5.97963   0.0107347
         336    -5.75972    -5.97898   0.0107227
         337    -5.75047     -5.9783   0.0107123
         338    -5.74208     -5.9776   0.0107034
         339    -5.74401    -5.97691   0.0106939
         340    -5.73957    -5.97622   0.0106853
         341    -5.73581    -5.97551   0.0106772
         342    -5.75044    -5.97485   0.0106662
         343    -5.71112    -5.97408   0.0106628
         344     -5.6904    -5.97326   0.0106636
         345     -5.6766     -5.9724   0.0106673
         346    -5.66451    -5.97151   0.0106735
         347    -5.64728    -5.97058   0.0106836
         348    -5.66185    -5.96969   0.0106897
         349    -5.64588    -5.96876   0.0106992
         350    -5.66297    -5.96789   0.0107043
         351    -5.66277    -5.96702    0.010709
         352    -5.67379    -5.96618   0.0107109
         353     -5.6823    -5.96538   0.0107108
         354     -5.6981    -5.96463   0.0107071
         355    -5.70146    -5.96388   0.0107026
         356    -5.72718    -5.96322   0.0106931
         357     -5.7237    -5.96255   0.0106842
         358    -5.73617    -5.96192    0.010673
         359     -5.7272    -5.96126   0.0106633
         360    -5.73165    -5.96062   0.0106528
         361    -5.73161    -5.95999   0.0106421
         362    -5.73561    -5.95937   0.0106308
         363    -5.72196    -5.95872   0.0106216
         364    -5.73063    -5.95809   0.0106109
         365    -5.72255    -5.95744   0.0106014
         366    -5.73744    -5.95684   0.0105895
         367    -5.73514    -5.95624   0.0105778
         368    -5.72934    -5.95562    0.010567
         369    -5.73163    -5.95502   0.0105558
         370    -5.72575     -5.9544   0.0105455
         371    -5.72694    -5.95378   0.0105348
         372    -5.73515    -5.95319   0.0105229
         373    -5.73744    -5.95262   0.0105106
         374    -5.73232    -5.95203    0.010499
         375      -5.722    -5.95141   0.0104889
         376    -5.71576    -5.95079   0.0104797
         377    -5.71605    -5.95016   0.0104704
         378    -5.73722     -5.9496   0.0104578
         379    -5.73369    -5.94903   0.0104457
         380    -5.73616    -5.94847   0.0104332
         381    -5.72495    -5.94788   0.0104223
         382    -5.71316    -5.94727   0.0104132
         383    -5.73254    -5.94671    0.010401
         384    -5.71907    -5.94612   0.0103908
         385    -5.71633    -5.94552    0.010381
         386    -5.71905    -5.94493   0.0103707
         387    -5.72547    -5.94437   0.0103593
         388    -5.71646    -5.94378   0.0103493
         389    -5.72978    -5.94323   0.0103373
         390    -5.73595     -5.9427   0.0103244
         391    -5.71311    -5.94211   0.0103147
         392    -5.69817    -5.94149   0.0103072
         393    -5.70049    -5.94087   0.0102992
         394    -5.70738    -5.94028   0.0102901
         395    -5.70646    -5.93969    0.010281
         396     -5.7078     -5.9391   0.0102717
         397    -5.70669    -5.93852   0.0102625
         398    -5.70469    -5.93793   0.0102535
         399    -5.70075    -5.93734   0.0102451
         400    -5.69748    -5.93674    0.010237
         401    -5.68659    -5.93611   0.0102304
         402    -5.71596    -5.93557   0.0102196
         403    -5.68801    -5.93495   0.0102127
         404    -5.67465    -5.93431   0.0102077
         405    -5.67174    -5.93366   0.0102031
         406    -5.68737    -5.93305    0.010196
         407    -5.68738    -5.93245   0.0101888
         408    -5.67402    -5.93182   0.0101835
         409    -5.68765    -5.93122   0.0101761
         410    -5.68824    -5.93063   0.0101685
         411    -5.70333    -5.93007   0.0101588
         412    -5.69105    -5.92949   0.0101507
         413    -5.70531    -5.92895   0.0101406
         414    -5.70766    -5.92842   0.0101302
         415    -5.71172    -5.92789   0.0101192
         416    -5.71153    -5.92737   0.0101083
         417    -5.71796    -5.92687   0.0100965
         418    -5.71076    -5.92635   0.0100856
         419    -5.72455    -5.92587    0.010073
         420    -5.72791     -5.9254     0.01006
