#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.55752    -5.59399   0.0117749
         153    -5.57264    -5.59385   0.0116988
         154     -5.5809    -5.59376   0.0116231
         155    -5.58187    -5.59369   0.0115484
         156    -5.57863    -5.59359   0.0114748
         157    -5.57791    -5.59349   0.0114021
         158    -5.58637    -5.59345     0.01133
         159    -5.59991    -5.59349   0.0112589
         160    -5.61412    -5.59361   0.0111892
         161     -5.6251    -5.59381   0.0111214
         162    -5.62875    -5.59403   0.0110549
         163    -5.62693    -5.59423   0.0109889
         164    -5.61945    -5.59438    0.010923
         165    -5.60905    -5.59447   0.0108571
         166    -5.59548    -5.59448   0.0107917
         167     -5.5778    -5.59438   0.0107276
         168    -5.55637    -5.59415   0.0106661
         169    -5.53279    -5.59379   0.0106092
         170     -5.5123    -5.59331   0.0105576
         171    -5.50176    -5.59277   0.0105094
         172    -5.50866    -5.59228   0.0104597
         173    -5.53032    -5.59193   0.0104053
         174    -5.55425    -5.59171   0.0103478
         175    -5.57204     -5.5916   0.0102893
         176    -5.57541     -5.5915   0.0102312
         177      -5.567    -5.59137   0.0101744
         178    -5.55036    -5.59114   0.0101198
         179    -5.53971    -5.59085   0.0100674
         180     -5.5388    -5.59056   0.0100156
         181    -5.54669    -5.59032  0.00996317
         182    -5.55613    -5.59013   0.0099102
         183    -5.55922    -5.58996  0.00985749
         184    -5.55383    -5.58976  0.00980587
         185    -5.54041     -5.5895  0.00975649
         186    -5.52229    -5.58914  0.00971072
         187    -5.50834     -5.5887   0.0096684
         188    -5.49987    -5.58823  0.00962852
         189    -5.49913    -5.58776  0.00958911
         190    -5.50343    -5.58732   0.0095489
         191    -5.51142    -5.58692  0.00950717
         192     -5.5228    -5.58658  0.00946352
         193    -5.53557    -5.58632  0.00941818
         194    -5.55288    -5.58615  0.00937121
         195    -5.56248    -5.58603  0.00932393
         196     -5.5659    -5.58592  0.00927693
         197    -5.56456    -5.58582  0.00923047
         198    -5.56475    -5.58571  0.00918447
         199     -5.5721    -5.58564  0.00913857
         200    -5.58255    -5.58563  0.00909289
         201    -5.59052    -5.58565  0.00904768
         202    -5.59205    -5.58568  0.00900295
         203    -5.58402    -5.58567   0.0089586
         204     -5.5714     -5.5856  0.00891496
         205    -5.55768    -5.58547  0.00887251
         206    -5.54775    -5.58528  0.00883133
         207    -5.54666     -5.5851  0.00879064
         208    -5.55209    -5.58494  0.00874981
         209    -5.56227    -5.58483  0.00870862
         210    -5.57535    -5.58479  0.00866726
         211    -5.58611    -5.58479  0.00862619
         212    -5.59083    -5.58482  0.00858555
         213    -5.58909    -5.58484  0.00854526
         214    -5.58447    -5.58484  0.00850533
         215    -5.57793    -5.58481  0.00846583
         216     -5.5668    -5.58472  0.00842705
         217    -5.55151    -5.58457   0.0083896
         218    -5.52997    -5.58432  0.00835486
         219    -5.50983    -5.58398  0.00832363
         220    -5.49528    -5.58358  0.00829555
         221    -5.48769    -5.58314  0.00826935
         222    -5.48265    -5.58269  0.00824448
