#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         140   0.0555556   0.0555556 4.27511e-10
         141   0.0555556   0.0555556 4.25992e-10
         142   0.0555556   0.0555556  4.2449e-10
         143   0.0555556   0.0555556 4.23003e-10
         144   0.0555556   0.0555556 4.21531e-10
         145   0.0555556   0.0555556 4.12894e-10
         146   0.0555556   0.0555556 4.11478e-10
         147   0.0555556   0.0555556 4.10076e-10
         148   0.0555556   0.0555556 4.08688e-10
         149   0.0555556   0.0555556 4.07314e-10
         150   0.0555556   0.0555556 4.05954e-10
         151   0.0555556   0.0555556 4.15119e-10
         152   0.0555556   0.0555556 4.13751e-10
         153   0.0555556   0.0555556 4.12397e-10
         154   0.0555556   0.0555556 4.11055e-10
         155   0.0555556   0.0555556 4.09727e-10
         156   0.0555556   0.0555556 4.08412e-10
         157   0.0555556   0.0555556 4.07109e-10
         158   0.0555556   0.0555556 4.05819e-10
         159   0.0555556   0.0555556 4.04541e-10
         160   0.0555556   0.0555556 4.03275e-10
         161   0.0555556   0.0555556  4.0202e-10
         162   0.0555556   0.0555556 4.00777e-10
         163   0.0555556   0.0555556 3.99546e-10
         164   0.0555556   0.0555556 3.98326e-10
         165   0.0555556   0.0555556 3.97117e-10
         166   0.0555556   0.0555556 3.95919e-10
         167   0.0555556   0.0555556 3.94732e-10
         168   0.0555556   0.0555556 3.93556e-10
         169   0.0555556   0.0555556  3.9239e-10
         170   0.0555556   0.0555556 3.91234e-10
         171   0.0555556   0.0555556 3.99721e-10
         172   0.0555556   0.0555556 3.98558e-10
         173   0.0555556   0.0555556 3.97404e-10
         174   0.0555556   0.0555556  3.9626e-10
         175   0.0555556   0.0555556 3.95127e-10
         176   0.0555556   0.0555556 3.94003e-10
         177   0.0555556   0.0555556 3.92888e-10
         178   0.0555556   0.0555556 3.91783e-10
         179   0.0555556   0.0555556 3.90687e-10
         180   0.0555556   0.0555556   3.896e-10
         181   0.0555556   0.0555556 3.88522e-10
         182   0.0555556   0.0555556 3.87454e-10
         183   0.0555556   0.0555556 3.86394e-10
         184   0.0555556   0.0555556 3.85342e-10
         185   0.0555556   0.0555556 3.84299e-10
         186   0.0555556   0.0555556 3.83265e-10
         187   0.0555556   0.0555556 3.82239e-10
         188   0.0555556   0.0555556 3.81221e-10
         189   0.0555556   0.0555556 3.80211e-10
         190   0.0555556   0.0555556 3.79209e-10
         191   0.0555556   0.0555556 3.78215e-10
         192   0.0555556   0.0555556 3.77229e-10
         193   0.0555556   0.0555556  3.7625e-10
         194   0.0555556   0.0555556 3.75279e-10
         195   0.0555556   0.0555556 3.74316e-10
         196   0.0555556   0.0555556  3.7336e-10
         197   0.0555556   0.0555556 3.81175e-10
         198   0.0555556   0.0555556 3.80211e-10
         199   0.0555556   0.0555556 3.79254e-10
         200   0.0555556   0.0555556 3.78305e-10
         201   0.0555556   0.0555556 3.77363e-10
         202   0.0555556   0.0555556 3.76428e-10
         203   0.0555556   0.0555556 3.75499e-10
         204   0.0555556   0.0555556 3.74578e-10
         205   0.0555556   0.0555556 3.73663e-10
         206   0.0555556   0.0555556 3.72755e-10
         207   0.0555556   0.0555556 3.71854e-10
         208   0.0555556   0.0555556 3.70959e-10
         209   0.0555556   0.0555556  3.7007e-10
         210   0.0555556   0.0555556 3.69188e-10
         211   0.0555556   0.0555556 3.68312e-10
         212   0.0555556   0.0555556 3.67442e-10
         213   0.0555556   0.0555556 3.66579e-10
         214   0.0555556   0.0555556 3.65721e-10
         215   0.0555556   0.0555556  3.6487e-10
         216   0.0555556   0.0555556 3.64024e-10
         217   0.0555556   0.0555556 3.63184e-10
         218   0.0555556   0.0555556  3.6235e-10
         219   0.0555556   0.0555556 3.61522e-10
         220   0.0555556   0.0555556   3.607e-10
         221   0.0555556   0.0555556 3.59883e-10
         222   0.0555556   0.0555556 3.59071e-10
         223   0.0555556   0.0555556 3.58265e-10
         224   0.0555556   0.0555556 3.57465e-10
         225   0.0555556   0.0555556 3.56669e-10
         226   0.0555556   0.0555556 3.55879e-10
         227   0.0555556   0.0555556 3.55095e-10
         228   0.0555556   0.0555556 3.54315e-10
         229   0.0555556   0.0555556 3.53541e-10
         230   0.0555556   0.0555556 3.52771e-10
         231   0.0555556   0.0555556 3.52007e-10
         232   0.0555556   0.0555556 3.51247e-10
         233   0.0555556   0.0555556 3.55764e-10
         234   0.0555556   0.0555556 3.55003e-10
         235   0.0555556   0.0555556 3.54247e-10
         236   0.0555556   0.0555556 3.53495e-10
         237   0.0555556   0.0555556 3.52749e-10
         238   0.0555556   0.0555556 3.52007e-10
         239   0.0555556   0.0555556  3.5127e-10
         240   0.0555556   0.0555556 3.50537e-10
         241   0.0555556   0.0555556 3.49809e-10
         242   0.0555556   0.0555556 3.49086e-10
         243   0.0555556   0.0555556 3.48367e-10
         244   0.0555556   0.0555556 3.47652e-10
         245   0.0555556   0.0555556 3.46942e-10
         246   0.0555556   0.0555556 3.46236e-10
         247   0.0555556   0.0555556 3.45534e-10
         248   0.0555556   0.0555556 3.44837e-10
         249   0.0555556   0.0555556 3.44144e-10
         250   0.0555556   0.0555556 3.43455e-10
         251   0.0555556   0.0555556  3.4277e-10
         252   0.0555556   0.0555556 3.42089e-10
         253   0.0555556   0.0555556 3.41412e-10
         254   0.0555556   0.0555556  3.4074e-10
         255   0.0555556   0.0555556 3.40071e-10
         256   0.0555556   0.0555556 3.39406e-10
         257   0.0555556   0.0555556 3.38745e-10
         258   0.0555556   0.0555556 3.38088e-10
         259   0.0555556   0.0555556 3.37435e-10
         260   0.0555556   0.0555556 3.36785e-10
         261   0.0555556   0.0555556 3.36139e-10
         262   0.0555556   0.0555556 3.35497e-10
         263   0.0555556   0.0555556 3.34859e-10
         264   0.0555556   0.0555556 3.34224e-10
         265   0.0555556   0.0555556 3.33593e-10
         266   0.0555556   0.0555556 3.32965e-10
         267   0.0555556   0.0555556 3.32341e-10
         268   0.0555556   0.0555556  3.3172e-10
         269   0.0555556   0.0555556 3.31103e-10
         270   0.0555556   0.0555556  3.3049e-10
         271   0.0555556   0.0555556 3.29879e-10
         272   0.0555556   0.0555556 3.29272e-10
         273   0.0555556   0.0555556 3.28669e-10
         274   0.0555556   0.0555556 3.28068e-10
         275   0.0555556   0.0555556 3.27471e-10
         276   0.0555556   0.0555556 3.26878e-10
         277   0.0555556   0.0555556 3.26287e-10
         278   0.0555556   0.0555556   3.257e-10
         279   0.0555556   0.0555556 3.25115e-10
         280   0.0555556   0.0555556 3.24534e-10
         281   0.0555556   0.0555556 3.23956e-10
