#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         152    -4.86346     -5.8122   0.0552127
         153    -4.78758     -5.8055   0.0552565
         154    -4.81987     -5.7991   0.0552671
         155    -4.83244    -5.79286   0.0552613
         156    -4.86362    -5.78691   0.0552271
         157    -4.83999    -5.78087   0.0552037
         158    -4.81943    -5.77479   0.0551887
         159    -4.79885    -5.76865   0.0551819
         160    -4.82549    -5.76276   0.0551509
         161    -4.81879    -5.75689   0.0551192
         162    -4.85632    -5.75133   0.0550585
         163    -4.84072    -5.74575   0.0550034
         164    -4.76475    -5.73977   0.0549924
         165    -4.73154    -5.73366   0.0549975
         166    -4.72195    -5.72756   0.0550028
         167    -4.67201    -5.72124   0.0550355
         168    -4.67865    -5.71503   0.0550566
         169    -4.63044    -5.70862   0.0551036
         170    -4.58654    -5.70202   0.0551734
         171    -4.65923    -5.69592   0.0551867
         172    -4.58616    -5.68947   0.0552418
         173    -4.63413    -5.68337   0.0552582
         174    -4.68856    -5.67765   0.0552356
         175    -4.63327    -5.67168   0.0552415
         176    -4.58545    -5.66551   0.0552713
         177    -4.58978    -5.65943   0.0552921
         178    -4.56438    -5.65328   0.0553227
         179    -4.52317    -5.64697   0.0553727
         180    -4.48317     -5.6405   0.0554413
         181    -4.46254    -5.63399   0.0555156
         182    -4.46419    -5.62756   0.0555814
         183    -4.37297    -5.62071   0.0556989
         184    -4.47746     -5.6145   0.0557417
         185    -4.52223    -5.60859   0.0557522
         186    -4.49434     -5.6026   0.0557733
         187    -4.46485    -5.59652    0.055806
         188    -4.42008    -5.59026   0.0558589
         189     -4.4451     -5.5842    0.055891
         190    -4.40886    -5.57801   0.0559381
         191    -4.32302    -5.57144   0.0560298
         192    -4.22337    -5.56442   0.0561762
         193    -4.21578    -5.55743    0.056318
         194    -4.19722    -5.55042   0.0564625
         195     -4.1389    -5.54318    0.056635
         196    -4.07304    -5.53568   0.0568406
         197    -4.03569    -5.52807   0.0570598
         198    -4.08504    -5.52078   0.0572352
         199      -4.023    -5.51325   0.0574403
         200    -4.10113    -5.50619   0.0575854
         201    -4.11722    -5.49928    0.057712
         202    -4.08132    -5.49226   0.0578517
         203    -4.04216    -5.48512    0.058006
         204    -4.01888    -5.47793   0.0581653
         205    -4.07557    -5.47109   0.0582824
         206    -4.11218     -5.4645   0.0583716
         207     -4.0763    -5.45779   0.0584736
         208    -4.09473    -5.45124   0.0585586
         209    -4.08043    -5.44468   0.0586445
         210    -4.07842    -5.43817   0.0587251
         211    -4.08999    -5.43178   0.0587933
         212    -4.14783    -5.42573   0.0588271
         213    -4.15661    -5.41977   0.0588519
         214    -4.18035    -5.41398   0.0588612
         215    -4.21711    -5.40841     0.05885
         216    -4.24696    -5.40303   0.0588227
         217    -4.20855    -5.39753   0.0588086
         218    -4.14586    -5.39179   0.0588185
         219    -4.15377    -5.38613   0.0588209
         220    -4.10955    -5.38033   0.0588391
         221    -4.14276    -5.37473   0.0588387
         222    -4.14311    -5.36918   0.0588346
         223    -4.10208     -5.3635   0.0588446
         224    -4.15511    -5.35811   0.0588286
         225    -4.13352    -5.35266   0.0588184
         226    -4.14303    -5.34731   0.0588011
         227    -4.12239    -5.34191   0.0587892
         228    -4.08181    -5.33639   0.0587905
         229    -4.12643     -5.3311   0.0587708
         230    -4.04795    -5.32553   0.0587794
         231    -3.92997    -5.31948   0.0588346
         232    -3.91426    -5.31343    0.058892
         233    -3.90929     -5.3074   0.0589468
         234    -3.95134    -5.30161    0.058979
         235    -4.05448     -5.2963   0.0589663
         236    -4.07724    -5.29113   0.0589423
         237    -3.97575    -5.28558   0.0589543
         238    -3.93764    -5.27992    0.058978
         239    -3.86889    -5.27402    0.059026
         240    -3.82286    -5.26797    0.059089
         241    -3.83533    -5.26202    0.059142
         242    -3.78407    -5.25592   0.0592122
         243    -3.82893    -5.25004    0.059259
         244    -3.76899    -5.24397   0.0593262
         245    -3.76366    -5.23793   0.0593909
         246    -3.70975    -5.23172   0.0594735
         247    -3.71253    -5.22557   0.0595499
