# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
    0.397569           0           0           0
    0.423219           0           0           0
    0.448869           0           0           0
    0.474518           0           0           0
    0.500168           0           0           0
    0.525818           0           0           0
    0.551467           0           0           0
    0.577117           0           0           0
    0.602767           0           0           0
    0.628416           0           0           0
    0.654066           0           0           0
    0.679715           0           0           0
    0.705365           0           0           0
    0.731015           0           0           0
    0.756664           0           0           0
    0.782314           0           0           0
    0.807964           0           0           0
    0.833613           0           0           0
    0.859263           0           0           0
    0.884913           0           0           0
    0.910562           0           0           0
    0.936212  0.00475201  0.00475201           0
    0.961861    0.071721    0.071721           0
    0.987511    0.366288    0.366288           0
     1.01316     1.15013     1.15013           0
     1.03881     1.82612     1.82612           0
     1.06446     2.21256     2.21256           0
     1.09011     2.60817     2.60817           0
     1.11576     2.82514     2.82514           0
     1.14141     2.66851     2.66851           0
     1.16706     2.47932     2.47932           0
     1.19271     2.35571     2.35571           0
     1.21836     2.83522     2.83522           0
     1.24401     1.78167     1.78167           0
     1.26966     1.47016     1.47016           0
     1.29531     1.25141     1.25141           0
     1.32096     1.08928     1.08928           0
     1.34661    0.968537    0.968537           0
     1.37226    0.767691    0.767691           0
     1.39791    0.725041    0.725041           0
     1.42355    0.644717    0.644717           0
      1.4492    0.632288    0.632288           0
     1.47485    0.561327    0.561327           0
      1.5005    0.539303    0.539303           0
     1.52615    0.559499    0.559499           0
      1.5518    0.565641    0.565641           0
     1.57745    0.536285    0.536285           0
      1.6031    0.499812    0.499812           0
     1.62875    0.482299    0.482299           0
      1.6544    0.550635    0.550635           0
     1.68005    0.599136    0.599136           0
      1.7057    0.956372    0.956372           0
     1.73135    0.755773    0.755773           0
       1.757    0.680874    0.680874           0
     1.78265     0.68097     0.68097           0
      1.8083    0.752537    0.752537           0
     1.83395     0.80752     0.80752           0
      1.8596    0.920655    0.920655           0
     1.88525     1.00846     1.00846           0
      1.9109     1.02222     1.02222           0
     1.93655      1.0292      1.0292           0
      1.9622     1.06744     1.06744           0
     1.98785     1.16816     1.16816           0
      2.0135     1.22402     1.22402           0
     2.03915     1.30893     1.30893           0
      2.0648     1.36262     1.36262           0
     2.09045     1.91064     1.91064           0
      2.1161     1.39203     1.39203           0
     2.14174     1.27284     1.27284           0
     2.16739     1.21341     1.21341           0
     2.19304      1.1861      1.1861           0
     2.21869     1.15613     1.15613           0
     2.24434      1.0255      1.0255           0
     2.26999     1.04949     1.04949           0
     2.29564     1.01303     1.01303           0
     2.32129    0.986196    0.986196           0
     2.34694    0.965658    0.965658           0
     2.37259    0.921634    0.921634           0
     2.39824    0.885644    0.885644           0
     2.42389     1.12004     1.12004           0
     2.44954    0.861672    0.861672           0
     2.47519    0.809221    0.809221           0
     2.50084    0.769879    0.769879           0
     2.52649    0.857328    0.857328           0
     2.55214    0.878519    0.878519           0
   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
    0.397569           0           0           0
    0.423219           0           0           0
    0.448869           0           0           0
    0.474518           0           0           0
    0.500168           0           0           0
    0.525818           0           0           0
    0.551467           0           0           0
    0.577117           0           0           0
    0.602767           0           0           0
    0.628416           0           0           0
    0.654066           0           0           0
    0.679715           0           0           0
    0.705365           0           0           0
    0.731015           0           0           0
    0.756664           0           0           0
    0.782314           0           0           0
    0.807964           0           0           0
    0.833613           0           0           0
    0.859263           0           0           0
    0.884913           0           0           0
    0.910562           0           0           0
    0.936212  0.00155669  0.00315435  0.00112972
    0.961861    0.110609   0.0911648   0.0137489
    0.987511    0.411577    0.388932    0.016012
     1.01316     1.21099     1.18056   0.0215189
     1.03881       2.084     1.95506   0.0911711
     1.06446     2.72675     2.46966    0.181795
     1.09011     3.02533     2.81675    0.147488
     1.11576     2.99946      2.9123   0.0616332
     1.14141     2.84561     2.75706   0.0626167
     1.16706     2.42069        2.45   0.0207292
     1.19271     2.01177     2.18374      0.1216
     1.21836     1.72966     2.28244    0.390876
     1.24401     1.50176     1.64171   0.0989646
     1.26966     1.37946     1.42481   0.0320679
     1.29531     1.19264     1.22202   0.0207774
     1.32096     1.02549     1.05738   0.0225539
     1.34661    0.899271    0.933904   0.0244893
     1.37226    0.752817    0.760254   0.0052585
     1.39791    0.731876    0.728459  0.00241671
     1.42355    0.692558    0.668638   0.0169143
      1.4492    0.704404    0.668346   0.0254968
     1.47485    0.637659    0.599493   0.0269873
      1.5005    0.600416    0.569859   0.0216068
     1.52615     0.59653    0.578014   0.0130923
      1.5518    0.606736    0.586188   0.0145294
     1.57745    0.580556     0.55842   0.0156525
      1.6031    0.648364    0.574088    0.052521
     1.62875     0.62269    0.552494   0.0496356
      1.6544    0.658606    0.604621   0.0381733
     1.68005    0.643764     0.62145   0.0157782
      1.7057    0.673397    0.814885    0.100047
     1.73135    0.743579    0.749676  0.00431142
       1.757    0.753316    0.717095   0.0256122
     1.78265    0.807388    0.744179   0.0446954
      1.8083    0.822113    0.787325    0.024599
     1.83395    0.869976    0.838748   0.0220813
      1.8596     0.96977    0.945213   0.0173646
     1.88525    0.991005    0.999734  0.00617234
      1.9109     1.04767     1.03495  0.00899773
     1.93655     1.09896     1.06408   0.0246647
      1.9622     1.17262     1.12003    0.037187
     1.98785     1.23015     1.19916   0.0219174
      2.0135     1.27545     1.24973   0.0181811
     2.03915      1.3047     1.30682  0.00149604
      2.0648     1.28713     1.32488   0.0266927
     2.09045     1.29518     1.60291    0.217601
      2.1161     1.24435     1.31819   0.0522119
     2.14174     1.27623     1.27453  0.00119562
     2.16739     1.21224     1.21282 0.000410783
     2.19304     1.22406     1.20508   0.0134201
     2.21869      1.1793     1.16772  0.00819089
     2.24434      1.1107      1.0681   0.0301236
     2.26999     1.08089     1.06519   0.0111017
     2.29564     1.05419     1.03361   0.0145504
     2.32129     1.01581       1.001   0.0104703
     2.34694    0.971303    0.968481  0.00199599
     2.37259    0.925908    0.923771  0.00151104
     2.39824    0.932168    0.908906   0.0164488
     2.42389    0.906946     1.01349   0.0753394
     2.44954    0.881983    0.871828  0.00718106
     2.47519    0.859708    0.834464   0.0178498
     2.50084    0.873948    0.821913    0.036794
     2.52649    0.843793    0.850561  0.00478528
     2.55214    0.889633    0.884076  0.00392942
   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
