#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.12764     2.12764           0
           2     2.08534     2.10649   0.0149526
           3     2.10721     2.10673  0.00997035
           4     2.08162     2.10045  0.00924506
           5     2.08773     2.09791  0.00773844
           6     2.13099     2.10342  0.00818014
           7     2.14358     2.10916  0.00879649
           8     2.14293     2.11338  0.00865092
           9     2.16416     2.11902  0.00935041
          10     2.18195     2.12532   0.0103176
          11     2.18962     2.13116   0.0109106
          12     2.22719     2.13916   0.0125989
          13     2.22998     2.14615   0.0134276
          14     2.24159     2.15297   0.0140931
          15     2.19503     2.15577   0.0134296
          16     2.15398     2.15566   0.0125907
          17     2.18043     2.15712   0.0119341
          18     2.16556     2.15758   0.0112803
          19     2.16718     2.15809   0.0106979
          20     2.18552     2.15946   0.0102505
          21     2.15771     2.15938  0.00976274
          22     2.17471     2.16007  0.00934382
          23     2.14593     2.15946  0.00895779
          24     2.16924     2.15987  0.00859382
          25     2.16838     2.16021  0.00825682
          26     2.19928     2.16171  0.00807486
          27     2.22572     2.16408  0.00811637
          28     2.26321     2.16762  0.00856395
          29      2.2679     2.17108  0.00893957
          30     2.27462     2.17453  0.00928392
          31      2.2903     2.17827  0.00970655
          32     2.27498     2.18129  0.00986255
          33     2.31143     2.18523   0.0103221
          34     2.32613     2.18938   0.0108185
          35     2.36215     2.19431   0.0115809
          36        2.38     2.19947   0.0123547
          37     2.43904     2.20594   0.0136121
          38     2.46263      2.2127   0.0148355
          39     2.56995     2.22186   0.0170501
          40     2.53863     2.22978   0.0183712
          41     2.68107     2.24079   0.0209628
          42     2.73084     2.25245   0.0234875
          43     2.87014     2.26682   0.0269787
          44       2.907     2.28137   0.0300337
          45     3.03962     2.29822   0.0337638
          46     3.12592     2.31621   0.0375193
          47     3.17965     2.33458   0.0409725
          48     3.17933     2.35218   0.0437355
          49     2.95037     2.36439   0.0445142
          50     3.06712     2.37844   0.0457889
