#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.41842     1.41842           0
           2     1.39023     1.40433  0.00996841
           3     1.40481     1.40449   0.0066469
           4     1.38775      1.4003  0.00616338
           5     1.39182     1.39861  0.00515896
           6     1.42066     1.40228  0.00545342
           7     1.42906     1.40611  0.00586433
           8     1.42862     1.40892  0.00576728
           9     1.44277     1.41268  0.00623361
          10     1.45463     1.41688  0.00687839
          11     1.45974     1.42077  0.00727372
          12     1.48479     1.42611  0.00839924
          13     1.48665     1.43077  0.00895172
          14     1.49439     1.43531  0.00939538
          15     1.46335     1.43718  0.00895305
          16     1.43599     1.43711   0.0083938
          17     1.45362     1.43808  0.00795605
          18     1.44371     1.43839  0.00752019
          19     1.44479     1.43873  0.00713192
          20     1.45701     1.43964  0.00683368
          21     1.43847     1.43958  0.00650849
          22     1.44981     1.44005  0.00622921
          23     1.43062     1.43964  0.00597186
          24     1.44616     1.43991  0.00572921
          25     1.44559     1.44014  0.00550455
          26     1.46619     1.44114  0.00538324
          27     1.48381     1.44272  0.00541091
          28     1.50881     1.44508   0.0057093
          29     1.51194     1.44739  0.00595971
          30     1.51641     1.44969  0.00618928
          31     1.52687     1.45218  0.00647104
          32     1.51665     1.45419  0.00657503
          33     1.54096     1.45682  0.00688142
          34     1.55076     1.45958  0.00721234
          35     1.57476     1.46287  0.00772063
          36     1.58667     1.46631  0.00823643
          37     1.62603     1.47063  0.00907474
          38     1.64175     1.47513  0.00989033
          39      1.7133     1.48124   0.0113668
          40     1.69242     1.48652   0.0122474
          41     1.78738     1.49386   0.0139752
          42     1.82056     1.50164   0.0156583
          43     1.91343     1.51121   0.0179858
          44       1.938     1.52091   0.0200225
          45     2.02642     1.53215   0.0225092
          46     2.08394     1.54414   0.0250128
          47     2.11977     1.55639    0.027315
          48     2.11955     1.56812    0.029157
          49     1.96692     1.57626   0.0296761
          50     2.04475     1.58563    0.030526
