#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.5771      1.5771           0
           2     1.57717     1.57714 2.47483e-05
           3     1.57714     1.57714 1.65008e-05
           4     1.57726     1.57717 2.98131e-05
           5     1.57629     1.57699 0.000159677
           6     1.57669     1.57694 0.000141082
           7     1.57718     1.57698 0.000124847
           8     1.57692     1.57697  0.00010947
           9     1.57667     1.57693 0.000102304
          10     1.57747     1.57699 0.000105351
          11     1.57583     1.57688 0.000138632
          12     1.57752     1.57694 0.000136799
          13     1.57675     1.57692 0.000126995
          14     1.57722     1.57694 0.000119743
          15     1.57751     1.57698  0.00011758
          16     1.57757     1.57702 0.000115805
          17     1.57684     1.57701 0.000109464
          18     1.57769     1.57705 0.000109694
          19      1.5765     1.57702 0.000107635
          20       1.577     1.57702 0.000102256
          21     1.57762     1.57704  0.00010136
          22     1.57692     1.57704 9.69163e-05
          23     1.57742     1.57706 9.40755e-05
          24     1.57706     1.57706 9.01562e-05
          25     1.57728     1.57706 8.70004e-05
          26     1.57637     1.57704 8.77045e-05
          27     1.57758     1.57706 8.67253e-05
          28     1.57636     1.57703 8.71799e-05
          29     1.57697     1.57703 8.41973e-05
          30     1.57653     1.57701 8.30545e-05
          31     1.57701     1.57701 8.03754e-05
          32     1.57647       1.577 7.96194e-05
          33     1.57616     1.57697 8.11666e-05
          34     1.57559     1.57693 8.84197e-05
          35     1.57621     1.57691 8.82658e-05
          36     1.57487     1.57685 0.000102473
          37     1.57543     1.57681 0.000106659
          38     1.57454     1.57676 0.000119458
          39     1.57412     1.57669 0.000134086
          40     1.57464     1.57664 0.000140187
          41     1.57313     1.57655 0.000160775
          42     1.57275     1.57646 0.000180608
          43     1.57234     1.57636 0.000200188
          44     1.57184     1.57626 0.000220523
          45     1.57221     1.57617 0.000233248
          46     1.57099     1.57606 0.000253899
          47     1.57086     1.57595 0.000271567
          48     1.57497     1.57593 0.000266677
          49     1.56977      1.5758 0.000289294
          50     1.57437     1.57577 0.000284919
